KX341966.1 18114 0 KX341966.1 Gmelinoides fasciatus mitochondrion, complete genome
KY670916.1 16570 0 KY670916.1 Homo sapiens isolate 32_T haplogroup N1b1 mitochondrion, complete genome
KY670915.1 16571 0 KY670915.1 Homo sapiens isolate 32_OR haplogroup U1a1c mitochondrion, complete genome
KY670914.1 16570 0 KY670914.1 Homo sapiens isolate 31_Vl haplogroup J2b mitochondrion, complete genome
KY670913.1 16570 0 KY670913.1 Homo sapiens isolate 31_Ps haplogroup U5a2b mitochondrion, complete genome
KY670912.1 16569 0 KY670912.1 Homo sapiens isolate 31_OR haplogroup W1e mitochondrion, complete genome
KY670911.1 16573 0 KY670911.1 Homo sapiens isolate 30_Ps haplogroup U5a1a mitochondrion, complete genome
KY670910.1 16569 0 KY670910.1 Homo sapiens isolate 30_OR haplogroup H1b mitochondrion, complete genome
KY670909.1 16570 0 KY670909.1 Homo sapiens isolate 29_Ps haplogroup J1c2 mitochondrion, complete genome
KY670908.1 16569 0 KY670908.1 Homo sapiens isolate 28_VN haplogroup H79b mitochondrion, complete genome
KY670907.1 16569 0 KY670907.1 Homo sapiens isolate 28_Ps haplogroup J1c3 mitochondrion, complete genome
KY670906.1 16569 0 KY670906.1 Homo sapiens isolate 27_Vl haplogroup J1c mitochondrion, complete genome
KY670905.1 16573 0 KY670905.1 Homo sapiens isolate 27_OR haplogroup H5e1 mitochondrion, complete genome
KY670904.1 16569 0 KY670904.1 Homo sapiens isolate 26_T haplogroup T2b mitochondrion, complete genome
KY670903.1 16570 0 KY670903.1 Homo sapiens isolate 26_OR haplogroup T2b4 mitochondrion, complete genome
KY670902.1 16569 0 KY670902.1 Homo sapiens isolate 25_OR haplogroup H1a3 mitochondrion, complete genome
KY670901.1 16570 0 KY670901.1 Homo sapiens isolate 24_VN haplogroup U5a2b mitochondrion, complete genome
KY670900.1 16569 0 KY670900.1 Homo sapiens isolate 24_Ps haplogroup J1b1 mitochondrion, complete genome
KY670899.1 16570 0 KY670899.1 Homo sapiens isolate 24_OR haplogroup U4a2 mitochondrion, complete genome
KY670898.1 16570 0 KY670898.1 Homo sapiens isolate 23_Vl haplogroup H14a mitochondrion, complete genome
KY670897.1 16570 0 KY670897.1 Homo sapiens isolate 23_T haplogroup H13a1 mitochondrion, complete genome
KY670896.1 16569 0 KY670896.1 Homo sapiens isolate 23_Ps haplogroup H107 mitochondrion, complete genome
KY670895.1 16569 0 KY670895.1 Homo sapiens isolate 23_OR haplogroup K1c1 mitochondrion, complete genome
KY670894.1 16570 0 KY670894.1 Homo sapiens isolate 22_VN haplogroup H10e mitochondrion, complete genome
KY670893.1 16569 0 KY670893.1 Homo sapiens isolate 22_Vl haplogroup H1c mitochondrion, complete genome
KY670892.1 16569 0 KY670892.1 Homo sapiens isolate 22_Ps haplogroup H1b mitochondrion, complete genome
KY670891.1 16570 0 KY670891.1 Homo sapiens isolate 21_T haplogroup H1c mitochondrion, complete genome
KY670890.1 16573 0 KY670890.1 Homo sapiens isolate 20_VN haplogroup H1 mitochondrion, complete genome
KY670889.1 16573 0 KY670889.1 Homo sapiens isolate 20_T haplogroup T1a1 mitochondrion, complete genome
KY670888.1 16570 0 KY670888.1 Homo sapiens isolate 20_Ps haplogroup H44b mitochondrion, complete genome
KY670887.1 16571 0 KY670887.1 Homo sapiens isolate 19_Vl haplogroup H2a1 mitochondrion, complete genome
KY670886.1 16569 0 KY670886.1 Homo sapiens isolate 19_OR haplogroup H27 mitochondrion, complete genome
KY670885.1 16570 0 KY670885.1 Homo sapiens isolate 18_Vl haplogroup H2a1 mitochondrion, complete genome
KY670884.1 16570 0 KY670884.1 Homo sapiens isolate 18_OR haplogroup U5b1b1 mitochondrion, complete genome
KY670883.1 16570 0 KY670883.1 Homo sapiens isolate 17_Ps haplogroup V7a mitochondrion, complete genome
KY670882.1 16569 0 KY670882.1 Homo sapiens isolate 16_VN haplogroup H28a mitochondrion, complete genome
KY670881.1 16569 0 KY670881.1 Homo sapiens isolate 16_Vl haplogroup H1c mitochondrion, complete genome
KY670880.1 16570 0 KY670880.1 Homo sapiens isolate 16_T haplogroup H1c mitochondrion, complete genome
KY670879.1 16570 0 KY670879.1 Homo sapiens isolate 16_Ps haplogroup H2a1 mitochondrion, complete genome
KY670878.1 16569 0 KY670878.1 Homo sapiens isolate 15_T haplogroup H1c mitochondrion, complete genome
KY670877.1 16567 0 KY670877.1 Homo sapiens isolate 15_Ps haplogroup J1c5 mitochondrion, complete genome
KY670876.1 16569 0 KY670876.1 Homo sapiens isolate 14_VN haplogroup H1a8 mitochondrion, complete genome
KY670875.1 16570 0 KY670875.1 Homo sapiens isolate 14_Ps haplogroup T1a5 mitochondrion, complete genome
KY670874.1 16569 0 KY670874.1 Homo sapiens isolate 14_OR haplogroup V7a mitochondrion, complete genome
KY670873.1 16570 0 KY670873.1 Homo sapiens isolate 13_VN haplogroup T2b mitochondrion, complete genome
KY670872.1 16571 0 KY670872.1 Homo sapiens isolate 13_Ps haplogroup V1a mitochondrion, complete genome
KY670871.1 16569 0 KY670871.1 Homo sapiens isolate 13_OR haplogroup H11a1 mitochondrion, complete genome
KY670870.1 16569 0 KY670870.1 Homo sapiens isolate 12_T haplogroup H1 mitochondrion, complete genome
KY670869.1 16567 0 KY670869.1 Homo sapiens isolate 12_Ps haplogroup H4a1 mitochondrion, complete genome
KY670868.1 16568 0 KY670868.1 Homo sapiens isolate 11_Ps haplogroup U5b1e mitochondrion, complete genome
KY670867.1 16571 0 KY670867.1 Homo sapiens isolate 10_T haplogroup H3 mitochondrion, complete genome
KY670866.1 16573 0 KY670866.1 Homo sapiens isolate 10_Ps haplogroup W6a mitochondrion, complete genome
KY670865.1 16568 0 KY670865.1 Homo sapiens isolate 10_OR haplogroup J1b1 mitochondrion, complete genome
KY670864.1 16571 0 KY670864.1 Homo sapiens isolate 9_VN haplogroup H1n4 mitochondrion, complete genome
KY670863.1 16570 0 KY670863.1 Homo sapiens isolate 9_Vl haplogroup U5b2 mitochondrion, complete genome
KY670862.1 16579 0 KY670862.1 Homo sapiens isolate 9_T haplogroup U2e1 mitochondrion, complete genome
KY670861.1 16560 0 KY670861.1 Homo sapiens isolate 9_Ps haplogroup T2f mitochondrion, complete genome
KY670860.1 16570 0 KY670860.1 Homo sapiens isolate 9_OR haplogroup U5a1g mitochondrion, complete genome
KY670859.1 16560 0 KY670859.1 Homo sapiens isolate 8_VN haplogroup T2f mitochondrion, complete genome
KY670858.1 16570 0 KY670858.1 Homo sapiens isolate 8_T haplogroup H6a1 mitochondrion, complete genome
KY670857.1 16568 0 KY670857.1 Homo sapiens isolate 8_Ps haplogroup H1a2 mitochondrion, complete genome
KY670856.1 16570 0 KY670856.1 Homo sapiens isolate 8_OR haplogroup H11a1 mitochondrion, complete genome
KY670855.1 16570 0 KY670855.1 Homo sapiens isolate 7_VN haplogroup H24a mitochondrion, complete genome
KY670854.1 16568 0 KY670854.1 Homo sapiens isolate 7_Ps haplogroup H1a2 mitochondrion, complete genome
KY670853.1 16569 0 KY670853.1 Homo sapiens isolate 6_VN haplogroup W1j mitochondrion, complete genome
KY670852.1 16568 0 KY670852.1 Homo sapiens isolate 5_VN haplogroup T2b mitochondrion, complete genome
KY670851.1 16569 0 KY670851.1 Homo sapiens isolate 5_OR haplogroup J1c5 mitochondrion, complete genome
KY670850.1 16571 0 KY670850.1 Homo sapiens isolate 4_VN haplogroup H7a1 mitochondrion, complete genome
KY670849.1 16570 0 KY670849.1 Homo sapiens isolate 4_Vl haplogroup K1c mitochondrion, complete genome
KY670848.1 16567 0 KY670848.1 Homo sapiens isolate 4_Ps haplogroup H5a1 mitochondrion, complete genome
KY670847.1 16569 0 KY670847.1 Homo sapiens isolate 4_OR haplogroup J1c2 mitochondrion, complete genome
KY670846.1 16567 0 KY670846.1 Homo sapiens isolate 3_VN haplogroup T2b mitochondrion, complete genome
KY670845.1 16569 0 KY670845.1 Homo sapiens isolate 3_Vl haplogroup U4a1 mitochondrion, complete genome
KY670844.1 16568 0 KY670844.1 Homo sapiens isolate 3_T haplogroup H44b mitochondrion, complete genome
KY670843.1 16570 0 KY670843.1 Homo sapiens isolate 2_VN haplogroup T2b mitochondrion, complete genome
KY670842.1 16570 0 KY670842.1 Homo sapiens isolate 2_Ps haplogroup H13a1 mitochondrion, complete genome
KY670841.1 16569 0 KY670841.1 Homo sapiens isolate 2_OR haplogroup T2a1 mitochondrion, complete genome
KY670840.1 16568 0 KY670840.1 Homo sapiens isolate 1_VN haplogroup H1b mitochondrion, complete genome
KY670839.1 16570 0 KY670839.1 Homo sapiens isolate 1_Vl haplogroup T1a mitochondrion, complete genome
KY670838.1 16569 0 KY670838.1 Homo sapiens isolate 1_Ps haplogroup J1b1 mitochondrion, complete genome
NM_001040613.2 2110 0 NM_001040613.2 Homo sapiens transmembrane protein 70 (TMEM70), transcript variant 2, mRNA
NM_017866.5 2096 0 NM_017866.5 Homo sapiens transmembrane protein 70 (TMEM70), transcript variant 1, mRNA
MG450794.1 16461 0 MG450794.1 Cynomys gunnisoni gunnisoni mitochondrion, complete genome
MG489891.1 15714 0 MG489891.1 Charybdis bimaculata mitochondrion, complete genome
KY767672.1 16496 0 KY767672.1 Clarias batrachus mitochondrion, complete genome
KY800118.1 16722 0 KY800118.1 Sus scrofa breed Ha Lang pig mitochondrion, complete genome
KY349100.1 16754 0 KY349100.1 Emberiza leucocephalos mitochondrion, complete genome
NC_037241.1 15330 0 NC_037241.1 Tesseropora rosea mitochondrion, complete genome
NC_037238.1 15802 0 NC_037238.1 Clithon retropictum voucher MABIK MO00163493 mitochondrion, complete genome
NC_037237.1 15249 0 NC_037237.1 Penion maximus mitochondrion, complete genome
NC_037236.1 15163 0 NC_037236.1 Marphysa tamurai mitochondrion, complete genome
NC_037234.1 15801 0 NC_037234.1 Creobroter jiangxiensis mitochondrion, complete genome
NC_037225.1 14864 0 NC_037225.1 Mycopsylla proxima voucher MPROX20161215 mitochondrion, complete genome
NC_037224.1 14815 0 NC_037224.1 Mycopsylla fici voucher MFICI20161215 mitochondrion, complete genome
NC_037222.1 14602 0 NC_037222.1 Centruroides vittatus mitochondrion, complete genome
NC_037221.1 15272 0 NC_037221.1 Indothais lacera mitochondrion, complete genome
NC_037220.1 16733 0 NC_037220.1 Mene maculata mitochondrion, complete genome
NC_037219.1 17610 0 NC_037219.1 Mobula thurstoni mitochondrion, complete genome
NC_037218.1 17965 0 NC_037218.1 Rhadinosa nigrocyanea mitochondrion, complete genome
NC_037210.1 15167 0 NC_037210.1 Empoasca onukii mitochondrion, complete genome
NC_037208.1 15466 0 NC_037208.1 Eomantis yunnanensis mitochondrion, complete genome
NC_037207.1 16026 0 NC_037207.1 Schizocephala bicornis mitochondrion, complete genome
NC_037206.1 15548 0 NC_037206.1 Sceptuchus simplex mitochondrion, complete genome
NC_037205.1 15609 0 NC_037205.1 Tropidomantis tenera mitochondrion, complete genome
NC_037204.1 15475 0 NC_037204.1 Sphodromantis lineola mitochondrion, complete genome
NC_037203.1 15684 0 NC_037203.1 Amantis nawai mitochondrion, complete genome
NC_037202.1 16065 0 NC_037202.1 Deroplatys desiccata mitochondrion, complete genome
NC_037201.1 16180 0 NC_037201.1 Atergatis floridus mitochondrion, complete genome
NC_037200.1 16390 0 NC_037200.1 Dermestes maculatus mitochondrion, complete genome
NC_037197.1 16577 0 NC_037197.1 Sinocyclocheilus jii mitochondrion, complete genome
NC_037196.1 15771 0 NC_037196.1 Tenebrio obscurus mitochondrion, complete genome
NC_037195.1 17026 0 NC_037195.1 Hydrotaea ignava mitochondrion, complete genome
NC_037193.1 16514 0 NC_037193.1 Clarias dussumieri mitochondrion, complete genome
NC_037189.1 16880 0 NC_037189.1 Abrornis proregulus mitochondrion, complete genome
NC_037188.1 15405 0 NC_037188.1 Charonia lampas voucher MABIK MO00163735 mitochondrion, complete genome
NC_037183.1 16585 0 NC_037183.1 Oreinus molesworthi mitochondrion, complete genome
NC_037182.1 16279 0 NC_037182.1 Peregrinus maidis mitochondrion, complete genome
NC_037181.1 16449 0 NC_037181.1 Changeondelphax velitchkovskyi mitochondrion, complete genome
NC_037178.1 19545 0 NC_037178.1 Anemonia majano mitochondrion, complete genome
NC_037177.1 20108 0 NC_037177.1 Anemonia viridis mitochondrion, complete genome
NC_037175.1 15184 0 NC_037175.1 Euzophera pyriella mitochondrion, complete genome
NC_037174.1 17216 0 NC_037174.1 Sorex sinalis mitochondrion, complete genome
NC_037173.1 15878 0 NC_037173.1 Monomia gladiator mitochondrion, complete genome
NC_037154.1 16973 0 NC_037154.1 Lepidocolaptes angustirostris voucher MPEG_68210 mitochondrion, complete genome
NC_037153.1 16768 0 NC_037153.1 Sicalis olivascens voucher MACN_1307 mitochondrion, complete genome
NC_037149.1 15801 0 NC_037149.1 Bombyx lemeepauli mitochondrion, complete genome
NC_037144.1 16503 0 NC_037144.1 Rhinogobius rubromaculatus mitochondrion, complete genome
NC_037143.1 16500 0 NC_037143.1 Exyrias puntang mitochondrion, complete genome
NC_037142.1 16472 0 NC_037142.1 Brachygobius doriae mitochondrion, complete genome
NC_037141.1 16681 0 NC_037141.1 Bathygobius coalitus mitochondrion, complete genome
NC_037140.1 16521 0 NC_037140.1 Eleotris fusca mitochondrion, complete genome
NC_037139.1 16655 0 NC_037139.1 Glyphonycteris daviesi voucher Royal Ontario Museum ROM-41125 mitochondrion, complete genome
NC_037138.1 16618 0 NC_037138.1 Diphylla ecaudata voucher American Museum of Natural History, AMNH-M-261777 mitochondrion, complete genome
NC_037137.1 16659 0 NC_037137.1 Noctilio leporinus voucher Institut des Sciences de l'Evolution de Montpellier, ISEM-V-1890, ISEM-T-4573 mitochondrion, complete genome
NC_037136.1 16691 0 NC_037136.1 Macrotus californicus voucher Museum of Southwestern Biology, MSB-140888 mitochondrion, complete genome
NC_037135.1 16661 0 NC_037135.1 Lonchorhina aurita voucher Museum of Vertebrate Zoology at Berkeley, MVZ-185587 mitochondrion, complete genome
NC_037134.1 16661 0 NC_037134.1 Hsunycteris thomasi voucher Institut des Sciences de l'Evolution de Montpellier, ISEM-V-1646, ISEM-T-3845 mitochondrion, complete genome
NC_037133.1 16628 0 NC_037133.1 Diaemus youngi voucher Museum of Southwestern Biology:MSB-56205 mitochondrion, complete genome
NC_037132.1 16707 0 NC_037132.1 Chrotopterus auritus mitochondrion, complete genome
BK010421.1 367808 0 BK010421.1 TPA_asm: Arabidopsis thaliana ecotype Col-0 mitochondrion, complete genome
KY008698.1 16640 0 KY008698.1 Pomacea bridgesi mitochondrion, complete genome
KX863671.1 15352 0 KX863671.1 Cryptopygus terranovus mitochondrion, complete genome
NC_006133.1 16004 0 NC_006133.1 Pteronarcys princeps mitochondrion, complete genome
NC_005944.1 16324 0 NC_005944.1 Philaenus spumarius mitochondrion, complete genome
NC_016005.1 1555935 0 NC_016005.1 Cucumis sativus mitochondrion chromosome 1, complete sequence
NC_016004.1 83817 0 NC_016004.1 Cucumis sativus mitochondrion chromosome 2, complete sequence
NC_037249.1 18012 0 NC_037249.1 Triphoturus mexicanus voucher CSULA 16-33 mitochondrion, complete genome
NC_037248.1 17596 0 NC_037248.1 Stomias atriventer voucher CSULA 16-01 mitochondrion, complete genome
NC_037246.1 14685 0 NC_037246.1 Haemaphysalis japonica mitochondrion, complete genome
NC_037244.1 15976 0 NC_037244.1 Altiverruca navicula mitochondrion, complete genome
NC_037187.1 16073 0 NC_037187.1 Armillifer grandis voucher ZMB_arachids_48784 mitochondrion, complete genome
NC_037186.1 16663 0 NC_037186.1 Ochotona erythrotis mitochondrion, complete genome
NC_037185.1 15227 0 NC_037185.1 Penion sulcatus mitochondrion, complete genome
NC_037180.1 16326 0 NC_037180.1 Peromyscus leucopus strain GS16A1 stock mitochondrion, complete genome
NC_037172.1 15924 0 NC_037172.1 Atergatis integerrimus mitochondrion, complete genome
NC_037156.1 16608 0 NC_037156.1 Candidia barbatus mitochondrion, complete genome
NC_037150.1 14567 0 NC_037150.1 Artyfechinostomum sufrartyfex isolate Shillong mitochondrion, complete genome
NC_037131.1 16658 0 NC_037131.1 Sardinella gibbosa mitochondrion, complete genome
MG450553.1 14718 0 MG450553.1 Haemaphysalis longicornis mitochondrion, complete genome
MG428405.1 16362 0 MG428405.1 Diaphanosoma dubium mitochondrion, complete genome
MF627741.1 15903 0 MF627741.1 Shinkaicaris leurokolos mitochondrion, complete genome
KY923500.1 5884 0 KY923500.1 Plasmodium falciparum isolate Pm01Panama mitochondrion, complete genome
KY923499.1 5884 0 KY923499.1 Plasmodium falciparum isolate PB14Panama mitochondrion, complete genome
KY923498.1 5884 0 KY923498.1 Plasmodium falciparum isolate P009Panama mitochondrion, complete genome
KY923497.1 5884 0 KY923497.1 Plasmodium falciparum isolate DA04Panama mitochondrion, complete genome
KY923496.1 5884 0 KY923496.1 Plasmodium falciparum isolate DA03Panama mitochondrion, complete genome
KY923495.1 5884 0 KY923495.1 Plasmodium falciparum isolate DA02Panama mitochondrion, complete genome
KY923494.1 5884 0 KY923494.1 Plasmodium falciparum isolate 413Indo mitochondrion, complete genome
KY923493.1 5884 0 KY923493.1 Plasmodium falciparum isolate 411Indo mitochondrion, complete genome
KY923492.1 5884 0 KY923492.1 Plasmodium falciparum isolate 406Indo mitochondrion, complete genome
KY923491.1 5884 0 KY923491.1 Plasmodium falciparum isolate 254Indo mitochondrion, complete genome
KY923490.1 5884 0 KY923490.1 Plasmodium falciparum isolate 230Indo mitochondrion, complete genome
KY923489.1 5884 0 KY923489.1 Plasmodium falciparum isolate 172Indo mitochondrion, complete genome
KY923488.1 5884 0 KY923488.1 Plasmodium falciparum isolate 165Indo mitochondrion, complete genome
KY923487.1 5884 0 KY923487.1 Plasmodium falciparum isolate 164Indo mitochondrion, complete genome
KY923486.1 5884 0 KY923486.1 Plasmodium falciparum isolate 132Indo mitochondrion, complete genome
KY923485.1 5884 0 KY923485.1 Plasmodium falciparum isolate 128Indo mitochondrion, complete genome
KY923484.1 5884 0 KY923484.1 Plasmodium falciparum isolate 127Indo mitochondrion, complete genome
KY923483.1 5884 0 KY923483.1 Plasmodium falciparum isolate 125Indo mitochondrion, complete genome
KY923482.1 5884 0 KY923482.1 Plasmodium falciparum isolate 123Indo mitochondrion, complete genome
KY923481.1 5884 0 KY923481.1 Plasmodium falciparum isolate 120Indo mitochondrion, complete genome
KY923480.1 5884 0 KY923480.1 Plasmodium falciparum isolate 53Indo mitochondrion, complete genome
KY923479.1 5884 0 KY923479.1 Plasmodium falciparum isolate 48Indo mitochondrion, complete genome
KY923478.1 5884 0 KY923478.1 Plasmodium falciparum isolate 41Indo mitochondrion, complete genome
KY923477.1 5884 0 KY923477.1 Plasmodium falciparum isolate 36Indo mitochondrion, complete genome
KY923476.1 5884 0 KY923476.1 Plasmodium falciparum isolate 9Indo mitochondrion, complete genome
KY923475.1 5884 0 KY923475.1 Plasmodium falciparum isolate 4Indo mitochondrion, complete genome
KY923474.1 5884 0 KY923474.1 Plasmodium falciparum isolate B036_TAN mitochondrion, complete genome
KY923473.1 5884 0 KY923473.1 Plasmodium falciparum isolate B032_TAN mitochondrion, complete genome
KY923472.1 5884 0 KY923472.1 Plasmodium falciparum isolate C147_TAN mitochondrion, complete genome
KY923471.1 5884 0 KY923471.1 Plasmodium falciparum isolate C114_TAN mitochondrion, complete genome
KY923470.1 5884 0 KY923470.1 Plasmodium falciparum isolate A111_TAN mitochondrion, complete genome
KY923469.1 5884 0 KY923469.1 Plasmodium falciparum isolate B151_TAN mitochondrion, complete genome
KY923468.1 5884 0 KY923468.1 Plasmodium falciparum isolate AO40_TAN mitochondrion, complete genome
KY923467.1 5884 0 KY923467.1 Plasmodium falciparum isolate A117_TAN mitochondrion, complete genome
KY923466.1 5884 0 KY923466.1 Plasmodium falciparum isolate B024_TAN mitochondrion, complete genome
KY923465.1 5884 0 KY923465.1 Plasmodium falciparum isolate B131_TAN mitochondrion, complete genome
KY923464.1 5884 0 KY923464.1 Plasmodium falciparum isolate C153_TAN mitochondrion, complete genome
KY923463.1 5884 0 KY923463.1 Plasmodium falciparum isolate C113_TAN mitochondrion, complete genome
KY923462.1 5884 0 KY923462.1 Plasmodium falciparum isolate B175_TAN mitochondrion, complete genome
KY923461.1 5884 0 KY923461.1 Plasmodium falciparum isolate B047_TAN mitochondrion, complete genome
KY923460.1 5884 0 KY923460.1 Plasmodium falciparum isolate B063_TAN mitochondrion, complete genome
KY923459.1 5884 0 KY923459.1 Plasmodium falciparum isolate C154_TAN mitochondrion, complete genome
KY923458.1 5884 0 KY923458.1 Plasmodium falciparum isolate B133_TAN mitochondrion, complete genome
KY923457.1 5884 0 KY923457.1 Plasmodium falciparum isolate B097_TAN mitochondrion, complete genome
KY923456.1 5884 0 KY923456.1 Plasmodium falciparum isolate B143_TAN mitochondrion, complete genome
KY923455.1 5884 0 KY923455.1 Plasmodium falciparum isolate C159_TAN mitochondrion, complete genome
KY923454.1 5884 0 KY923454.1 Plasmodium falciparum isolate C115_TAN mitochondrion, complete genome
KY923453.1 5884 0 KY923453.1 Plasmodium falciparum isolate C152_TAN mitochondrion, complete genome
KY923452.1 5884 0 KY923452.1 Plasmodium falciparum isolate C103_TAN mitochondrion, complete genome
KY923451.1 5884 0 KY923451.1 Plasmodium falciparum isolate C139_TAN mitochondrion, complete genome
KY923450.1 5884 0 KY923450.1 Plasmodium falciparum isolate B168_TAN mitochondrion, complete genome
KY923449.1 5775 0 KY923449.1 Plasmodium falciparum isolate C156_TAN mitochondrion, complete genome
KY923448.1 5884 0 KY923448.1 Plasmodium falciparum isolate C116_TAN mitochondrion, complete genome
KY923447.1 5884 0 KY923447.1 Plasmodium falciparum isolate XOA10PNG mitochondrion, complete genome
KY923446.1 5884 0 KY923446.1 Plasmodium falciparum isolate XOA133PNG mitochondrion, complete genome
KY923445.1 5884 0 KY923445.1 Plasmodium falciparum isolate XOA126PNG mitochondrion, complete genome
KY923444.1 5884 0 KY923444.1 Plasmodium falciparum isolate XOA160PNG mitochondrion, complete genome
KY923443.1 5884 0 KY923443.1 Plasmodium falciparum isolate XOA135PNG mitochondrion, complete genome
KY923442.1 5884 0 KY923442.1 Plasmodium falciparum isolate XOA166PNG mitochondrion, complete genome
KY923441.1 5884 0 KY923441.1 Plasmodium falciparum isolate XOH35PNG mitochondrion, complete genome
KY923440.1 5884 0 KY923440.1 Plasmodium falciparum isolate XOA162PNG mitochondrion, complete genome
KY923439.1 5884 0 KY923439.1 Plasmodium falciparum isolate XOH356PNG mitochondrion, complete genome
KY923438.1 5884 0 KY923438.1 Plasmodium falciparum isolate XOH353PNG mitochondrion, complete genome
KY923437.1 5884 0 KY923437.1 Plasmodium falciparum isolate XOH387PNG mitochondrion, complete genome
KY923436.1 5884 0 KY923436.1 Plasmodium falciparum isolate XOH418PNG mitochondrion, complete genome
KY923435.1 5884 0 KY923435.1 Plasmodium falciparum isolate XOH370PNG mitochondrion, complete genome
KY923434.1 5884 0 KY923434.1 Plasmodium falciparum isolate XOH393PNG mitochondrion, complete genome
KY923433.1 5884 0 KY923433.1 Plasmodium falciparum isolate XOH366PNG mitochondrion, complete genome
KY923432.1 5884 0 KY923432.1 Plasmodium falciparum isolate XOH421PNG mitochondrion, complete genome
KY923431.1 5884 0 KY923431.1 Plasmodium falciparum isolate XOH419PNG mitochondrion, complete genome
KY923430.1 5884 0 KY923430.1 Plasmodium falciparum isolate XOH362PNG mitochondrion, complete genome
KY923429.1 5884 0 KY923429.1 Plasmodium falciparum isolate XOH360PNG mitochondrion, complete genome
KY923428.1 5884 0 KY923428.1 Plasmodium falciparum isolate XOH400PNG mitochondrion, complete genome
KY923427.1 5884 0 KY923427.1 Plasmodium falciparum isolate XOH355PNG mitochondrion, complete genome
KY923426.1 5884 0 KY923426.1 Plasmodium falciparum isolate XOH398PNG mitochondrion, complete genome
KY923425.1 5884 0 KY923425.1 Plasmodium falciparum isolate XOH37PNG mitochondrion, complete genome
MG426188.1 16654 0 MG426188.1 Equus caballus breed Hequ mitochondrion, partial genome
MF983539.1 16729 0 MF983539.1 Sphyrna zygaena voucher OC-462 mitochondrion, complete genome
MF983538.1 16729 0 MF983538.1 Sphyrna zygaena voucher OC-448 mitochondrion, complete genome
NC_036381.1 14275 0 NC_036381.1 Microceramus pontificus mitochondrion, complete genome
NC_036426.1 14260 0 NC_036426.1 Chromodoris annae voucher 642 mitochondrion, complete genome
NC_036401.1 16830 0 NC_036401.1 Lonchura grandis isolate JSB013 mitochondrion, complete genome
NC_036345.1 16707 0 NC_036345.1 Sterna hirundo mitochondrion, complete genome
NC_036315.1 16984 0 NC_036315.1 Myotis ruber mitochondrion, complete genome
NC_036302.1 15273 0 NC_036302.1 Calophya californica voucher DP2.idba.199 mitochondrion, complete genome
NC_036283.1 16246 0 NC_036283.1 Xylosandrus morigerus voucher BMNH 1040336 mitochondrion, complete genome
NC_036277.1 15946 0 NC_036277.1 Pelecotoma fennica voucher BMNH 842676 mitochondrion, complete genome
NC_036275.1 15672 0 NC_036275.1 Dryops ernesti voucher BMNH 833433 mitochondrion, complete genome
NC_036274.1 15754 0 NC_036274.1 Vincenzellus ruficollis voucher BMNH 833403 mitochondrion, complete genome
NC_008151.3 43079 0 NC_008151.3 Trichoplax adhaerens isolate Grell Red Sea mitochondrion, complete genome
NC_036022.1 18853 0 NC_036022.1 Dendronephthya putteri mitochondrion, complete genome
NC_036008.1 15570 0 NC_036008.1 Culex camposi isolate MS04_38 mitochondrion, complete genome
NC_036007.1 15574 0 NC_036007.1 Culex usquatissimus isolate RO25_19 mitochondrion, complete genome
NC_036006.1 15576 0 NC_036006.1 Culex coronator isolate RS10_109 mitochondrion, complete genome
NC_036005.1 15573 0 NC_036005.1 Culex usquatus isolate SP29_156 mitochondrion, complete genome
NC_036004.1 15048 0 NC_036004.1 Anabolia bimaculata voucher JBWM0362999 mitochondrion, complete genome
NC_035987.1 17070 0 NC_035987.1 Donax vittatus mitochondrion, complete genome
NC_035986.1 17195 0 NC_035986.1 Donax variegatus mitochondrion, complete genome
NC_035985.1 17365 0 NC_035985.1 Donax trunculus mitochondrion, complete genome
NC_035984.1 17044 0 NC_035984.1 Donax semiestriatus mitochondrion, complete genome
NC_035983.1 20320 0 NC_035983.1 Oscarella pearsei mitochondrion, complete genome
NC_034939.1 16602 0 NC_034939.1 Nemoura nankinensis mitochondrion, complete genome
NC_034839.1 16928 0 NC_034839.1 Corvus cryptoleucus isolate 83690 mitochondrion, complete genome
NC_033998.1 15706 0 NC_033998.1 Homogryllacris anelytra mitochondrion, complete genome
NC_033995.1 15875 0 NC_033995.1 Kuwayamaea chinensis mitochondrion, complete genome
NC_033994.1 15876 0 NC_033994.1 Phryganogryllacris xiai mitochondrion, complete genome
NC_033993.1 15899 0 NC_033993.1 Holochlora fruhstorferi mitochondrion, complete genome
NC_033992.1 16056 0 NC_033992.1 Pseudorhynchus acuminatus mitochondrion, complete genome
NC_033990.1 15865 0 NC_033990.1 Pseudorhynchus crassiceps mitochondrion, complete genome
NC_033982.1 16077 0 NC_033982.1 Pseudokuzicus pieli mitochondrion, complete genome
NC_033886.1 13355 0 NC_033886.1 Nippostrongylus brasiliensis mitochondrion, complete genome
NC_033853.1 16044 0 NC_033853.1 Pseudocosmetura anjiensis mitochondrion, complete genome
NC_031873.1 15304 0 NC_031873.1 Echinoderes svetlanae mitochondrion, complete genome
NC_031862.1 17755 0 NC_031862.1 Omphalius nigerrimus mitochondrion, complete genome
NC_031859.1 17780 0 NC_031859.1 Chlorostoma argyrostomum mitochondrion, complete genome
NC_031652.1 16276 0 NC_031652.1 Ducetia japonica mitochondrion, complete genome
NC_031649.1 14010 0 NC_031649.1 Contracaecum ogmorhini sensu lato Pacific Canada mitochondrion, complete genome
